,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
0,12/15/2014 01:40:00 AM,0013a20040b4b755,1,508,21.6,21.6,21.6,96.4,96.4,96.4,41.2,41.2,41.2,ENV,-37.8134078,144.97949230000003,30.1,Fitzroy Gardens,508-20141215014000,,1
1,12/15/2014 01:40:00 AM,0013a20040b516ed,1,505,23.2,23.2,23.2,93.5,93.5,93.5,48.3,48.3,48.3,ENV,-37.813072999999996,144.9804061,29.91,Fitzroy Gardens,505-20141215014000,,1
2,12/15/2014 01:45:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,97.2,97.2,97.2,44.8,44.8,44.8,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141215014500,,1
3,12/15/2014 01:45:00 AM,0013a20040b5b318,1,502,21.3,21.3,21.3,97.4,97.4,97.4,45.3,45.3,45.3,ENV,-37.8146097,144.97901769999999,22.57,Fitzroy Gardens,502-20141215014500,,1
4,12/15/2014 01:45:00 AM,0013a20040b315ec,1,501,22.9,22.9,22.9,97.4,97.4,97.4,43.1,43.1,43.1,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141215014500,,1
5,12/15/2014 01:50:00 AM,0013a20040b4b755,1,508,21.3,21.3,21.3,96.4,96.4,96.4,41.2,41.2,41.2,ENV,-37.8134078,144.97949230000003,30.1,Fitzroy Gardens,508-20141215015000,,1
6,12/15/2014 01:55:00 AM,0013a20040b516ed,1,505,23.2,23.2,23.2,93.5,93.5,93.5,47.0,47.0,47.0,ENV,-37.813072999999996,144.9804061,29.91,Fitzroy Gardens,505-20141215015500,,1
7,12/15/2014 01:55:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,97.2,97.2,97.2,44.5,44.5,44.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141215015500,,1
8,12/15/2014 01:55:00 AM,0013a20040b5b318,1,502,21.6,21.6,21.6,97.4,97.4,97.4,45.3,45.3,45.3,ENV,-37.8146097,144.97901769999999,22.57,Fitzroy Gardens,502-20141215015500,,1
9,12/15/2014 02:00:00 AM,0013a20040b315ec,1,501,23.5,23.5,23.5,97.4,97.4,97.4,43.7,43.7,43.7,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141215020000,,1
