Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
12,12/15/2014 03:55:00 AM,0013a20040b5b337,1,511,23.5,23.5,23.5,96.3,96.3,96.3,43.1,43.1,43.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215035500,,0
16,12/15/2014 04:05:00 AM,0013a20040b5b337,1,511,22.9,22.9,22.9,98.0,98.0,98.0,42.9,42.9,42.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215040500,,0
21,12/15/2014 04:55:00 AM,0013a20040b5b337,1,511,22.6,22.6,22.6,97.8,97.8,97.8,45.9,45.9,45.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215045500,,0
23,12/15/2014 05:40:00 AM,0013a20040b5b337,1,511,21.3,21.3,21.3,95.7,95.7,95.7,48.1,48.1,48.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215054000,,0
25,12/15/2014 05:50:00 AM,0013a20040b5b337,1,511,21.0,21.0,21.0,95.6,95.6,95.6,49.4,49.4,49.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215055000,,0
29,12/15/2014 06:10:00 AM,0013a20040b5b337,1,511,21.3,21.3,21.3,96.8,96.8,96.8,48.5,48.5,48.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215061000,,0
35,12/15/2014 06:40:00 AM,0013a20040b5b337,1,511,25.5,25.5,25.5,98.7,98.7,98.7,39.0,39.0,39.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215064000,,0
36,12/15/2014 06:50:00 AM,0013a20040b5b337,1,511,24.5,24.5,24.5,98.1,98.1,98.1,39.8,39.8,39.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215065000,,0
38,12/15/2014 07:00:00 AM,0013a20040b5b337,1,511,23.9,23.9,23.9,98.4,98.4,98.4,41.5,41.5,41.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215070000,,0
44,12/15/2014 07:30:00 AM,0013a20040b5b337,1,511,21.0,21.0,21.0,96.4,96.4,96.4,46.1,46.1,46.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215073000,,0
46,12/15/2014 07:40:00 AM,0013a20040b5b337,1,511,21.3,21.3,21.3,96.7,96.7,96.7,46.2,46.2,46.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215074000,,0
51,12/15/2014 08:00:00 AM,0013a20040b5b337,1,511,22.6,22.6,22.6,98.5,98.5,98.5,43.7,43.7,43.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215080000,,0
59,12/15/2014 08:45:00 AM,0013a20040b5b337,1,511,18.7,18.7,18.7,93.4,93.4,93.4,52.6,52.6,52.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215084500,,0
64,12/15/2014 09:15:00 AM,0013a20040b5b337,1,511,18.1,18.1,18.1,81.8,81.8,81.8,55.7,55.7,55.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215091500,,0
68,12/15/2014 09:35:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,69.8,69.8,69.8,56.3,56.3,56.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215093500,,0
77,12/15/2014 10:25:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.4,13.4,13.4,56.8,56.8,56.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215102500,,0
86,12/15/2014 11:05:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.1,13.1,13.1,57.0,57.0,57.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215110500,,0
88,12/15/2014 11:15:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.5,13.5,13.5,57.4,57.4,57.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215111500,,0
93,12/15/2014 11:35:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.2,13.2,13.2,57.9,57.9,57.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215113500,,0
98,12/15/2014 12:00:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.2,12.2,12.2,58.5,58.5,58.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215120000,,0
105,12/15/2014 12:30:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.1,13.1,13.1,59.5,59.5,59.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215123000,,0
108,12/15/2014 12:40:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.5,12.5,12.5,59.5,59.5,59.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215124000,,0
111,12/15/2014 12:50:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,12.5,12.5,12.5,59.5,59.5,59.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215125000,,0
114,12/15/2014 01:00:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,12.9,12.9,12.9,59.5,59.5,59.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215130000,,0
117,12/15/2014 01:10:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,12.7,12.7,12.7,59.6,59.6,59.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215131000,,0
124,12/15/2014 01:40:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.3,13.3,13.3,60.1,60.1,60.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215134000,,0
126,12/15/2014 01:50:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.0,13.0,13.0,60.1,60.1,60.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215135000,,0
129,12/15/2014 02:00:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,12.9,12.9,12.9,60.0,60.0,60.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215140000,,0
133,12/15/2014 02:20:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.0,13.0,13.0,60.4,60.4,60.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215142000,,0
136,12/15/2014 02:30:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.0,13.0,13.0,60.8,60.8,60.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215143000,,0
139,12/15/2014 02:40:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.0,13.0,13.0,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215144000,,0
142,12/15/2014 02:50:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.0,13.0,13.0,61.7,61.7,61.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215145000,,0
145,12/15/2014 03:00:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.1,13.1,13.1,61.4,61.4,61.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215150000,,0
